Date,Value
1997-11,10000
1997-12,10162.48572
1998-01,10421.72943
1998-02,11716.60401
1998-03,12174.98136
1998-04,11779.37084
1998-05,11233.9738
1998-06,10927.72087
1998-07,10518.56679
1998-08,9020.871142
1998-09,8663.651211
1998-10,9897.883792
1998-11,10688.55605
1998-12,10880.11959
1999-01,11400.75935
1999-02,11320.53564
1999-03,12411.99347
1999-04,13776.48184
1999-05,13622.78018
1999-06,14537.6274
1999-07,14323.65828
1999-08,14546.74056
1999-09,14197.99574
1999-10,15065.17343
1999-11,16310.18308
1999-12,17841.24425
2000-01,17076.22334
2000-02,16851.40485
2000-03,17831.95124
2000-04,18730.06693
2000-05,18021.68693
2000-06,18000.33709
2000-07,18244.70699
2000-08,19811.69297
2000-09,19421.02324
2000-10,20274.35965
2000-11,19168.00936
2000-12,18852.1065
2001-01,19721.22623
2001-02,19290.7228
2001-03,19386.20696
2001-04,20273.25519
2001-05,21080.71815
2001-06,20895.76943
2001-07,20381.10326
2001-08,18939.05074
2001-09,17071.78584
2001-10,17067.53482
2001-11,18614.07475
2001-12,19017.14537
2002-01,19245.8316
2002-02,19114.58065
2002-03,20147.40933
2002-04,19963.10288
2002-05,19577.62859
2002-06,17039.83424
2002-07,15865.58078
2002-08,15840.95131
2002-09,14011.53665
2002-10,14199.85856
2002-11,14788.2861
2002-12,13561.76239
2003-01,13071.40978
2003-02,12637.09108
2003-03,12295.27121
2003-04,13046.78759
2003-05,13442.47353
2003-06,14505.89285
2003-07,15338.01944
2003-08,16690.57645
2003-09,16258.09229
2003-10,17595.93323
2003-11,17302.09801
2003-12,17649.19392
2004-01,18509.66519
2004-02,18881.55966
2004-03,19681.74833
2004-04,19769.15976
2004-05,19461.41586
2004-06,20299.55001
2004-07,19863.13563
2004-08,19753.49472
2004-09,19885.83666
2004-10,19827.1981
2004-11,20527.62323
2004-12,21038.93296
2005-01,21661.32084
2005-02,22313.61862
2005-03,22380.87709
2005-04,21805.30762
2005-05,23393.74112
2005-06,24328.94687
2005-07,25280.86315
2005-08,25786.36967
2005-09,27301.80923
2005-10,26391.7627
2005-11,27684.76234
2005-12,28463.44463
2006-01,29467.58755
2006-02,30068.23832
2006-03,30378.16566
2006-04,30725.18433
2006-05,28972.37415
2006-06,29260.95443
2006-07,29689.75149
2006-08,30454.07928
2006-09,31347.96124
2006-10,32459.97212
2006-11,32270.58262
2006-12,33404.00609
2007-01,34428.05729
2007-02,33988.89395
2007-03,34598.43503
2007-04,35814.82341
2007-05,37466.25294
2007-06,37299.45401
2007-07,35582.86143
2007-08,35461.67537
2007-09,35779.99774
2007-10,36116.08257
2007-11,33498.92499
2007-12,32967.0936
2008-01,29937.80597
2008-02,29410.13396
2008-03,27984.7
2008-04,29896.31967
2008-05,30481.66053
2008-06,27301.08293
2008-07,26738.12778
2008-08,27929.0582
2008-09,24488.73859
2008-10,21727.21902
2008-11,20590.34787
2008-12,20006.91701
2009-01,19580.57279
2009-02,17387.79794
2009-03,17964.31164
2009-04,21077.87108
2009-05,22395.3227
2009-06,22219.59747
2009-07,24312.12951
2009-08,25965.64919
2009-09,26445.77408
2009-10,25244.0859
2009-11,25642.9389
2009-12,27420.37109
2010-01,27143.73129
2010-02,28117.06138
2010-03,30271.09861
2010-04,30237.96828
2010-05,29357.41732
2010-06,28154.87922
2010-07,29101.47256
2010-08,28551.85842
2010-09,29308.50963
2010-10,30105.78247
2010-11,30574.09054
2010-12,32267.41611
2011-01,33068.28056
2011-02,33919.37191
2011-03,32402.4216
2011-04,32501.99149
2011-05,32627.24197
2011-06,32020.50209
2011-07,31356.65215
2011-08,27597.83815
2011-09,26855.16083
2011-10,28607.33664
2011-11,28781.65506
2011-12,29640.3206
2012-01,31016.20079
2012-02,32036.23804
2012-03,32244.4556
2012-04,31393.78976
2012-05,29741.94942
2012-06,31163.70336
2012-07,31618.34394
2012-08,31777.48062
2012-09,31906.4254
2012-10,31987.79197
2012-11,32366.54383
2012-12,33429.08372
2013-01,34499.27505
2013-02,35114.39581
2013-03,36631.40627
2013-04,37526.86198
2013-05,38480.76371
2013-06,37091.49141
2013-07,38951.0906
2013-08,38397.85096
2013-09,39747.13485
2013-10,41033.66459
2013-11,42211.80234
2013-12,42428.28778
2014-01,42048.19868
2014-02,43151.47188
2014-03,43615.69366
2014-04,43958.80343
2014-05,45557.96051
2014-06,46477.28807
2014-07,47089.63864
2014-08,48009.9488
2014-09,48983.1106
2014-10,48537.97894
2014-11,49693.48284
2014-12,50391.085
2015-01,52991.9459
2015-02,56857.12441
2015-03,58679.6094
2015-04,58091.96232
2015-05,60178.01111
2015-06,57401.27633
2015-07,58811.42457
2015-08,53432.5709
2015-09,50675.40518
2015-10,55759.0096
2015-11,57050.97262
2015-12,54660.1879
2016-01,49902.98122
2016-02,49472.27005
2016-03,50308.58397
2016-04,51930.96575
2016-05,53008.12082
2016-06,51198.45803
2016-07,54055.81585
2016-08,55017.98633
2016-09,55068.76266
2016-10,56354.06963
2016-11,59080.09678
2016-12,61457.14152
2017-01,61635.60314
2017-02,63806.03811
2017-03,63555.53164
2017-04,62659.74019
2017-05,61650.84797
2017-06,61316.92362
2017-07,61451.89928
2017-08,60773.91642
2017-09,62944.46867
2017-10,65450.54246
2017-11,65980.48314
2017-12,66373.22743
2018-01,67298.51959
2018-02,66132.68544
2018-03,64126.70736
2018-04,66786.9785
2018-05,67338.74752
2018-06,66232.43884
2018-07,67615.20179
2018-08,67490.97637
2018-09,69181.87565
2018-10,65644.70758
2018-11,65690.67692
2018-12,60206.3046
2019-01,65215.17307
2019-02,66243.40168
2019-03,66951.51915
2019-04,68270.30243
2019-05,63178.99735
2019-06,66185.82151
2019-07,67332.16969
2019-08,65243.82522
2019-09,69334.35955
2019-10,70341.62339
2019-11,72824.81108
2019-12,73540.77823
2020-01,72181.94136
2020-02,65909.96233
2020-03,55301.47944
2020-04,59725.6276
2020-05,60113.62727
2020-06,60201.19024
2020-07,55806.34757
2020-08,58422.92786
2020-09,57710.45589
2020-10,55785.12709
2020-11,63699.70468
2020-12,65071.7631
2021-01,66650.03231
2021-02,70823.30722
2021-03,77423.89401
2021-04,75926.92986
2021-05,77664.19141
2021-06,78514.86303
2021-07,78033.96235
2021-08,79288.92415
2021-09,79937.13379
2021-10,80008.64212
2021-11,79313.6389
2021-12,85144.79147
2022-01,86452.98945
2022-02,84856.92743
2022-03,85936.85797
2022-04,85232.64814
2022-05,87052.9509
2022-06,80847.18645
2022-07,84808.92956
2022-08,83276.28334
2022-09,77192.36942
2022-10,82112.62593
2022-11,85713.81621
2022-12,82087.36799
2023-01,86581.05457
2023-02,86847.19047
2023-03,85168.57563
2023-04,85322.84622
2023-05,85545.62253
2023-06,89678.93388
2023-07,91983.35872
2023-08,90891.06514
2023-09,91779.61447
2023-10,87189.80608
2023-11,91513.29246
2023-12,95291.73726
2024-01,97654.39901
2024-02,98988.45558
2024-03,104240.9656
