Date,Value
1/2/1970,93.00
1/5/1970,93.92
1/6/1970,92.63
1/7/1970,92.25
1/8/1970,92.35
1/9/1970,91.80
1/12/1970,90.41
1/13/1970,90.84
1/14/1970,90.31
1/15/1970,90.36
1/16/1970,88.87
1/19/1970,86.38
1/20/1970,86.73
1/21/1970,86.96
1/22/1970,87.14
1/23/1970,85.84
1/26/1970,83.53
1/27/1970,82.49
1/28/1970,80.93
1/29/1970,78.88
1/30/1970,77.64
2/2/1970,78.98
2/3/1970,80.86
2/4/1970,79.87
2/5/1970,79.24
2/6/1970,80.03
2/9/1970,81.29
2/10/1970,79.59
2/11/1970,81.15
2/12/1970,80.75
2/13/1970,80.40
2/16/1970,80.27
2/17/1970,80.08
2/18/1970,82.07
2/19/1970,82.67
2/20/1970,83.18
2/24/1970,83.10
2/25/1970,85.67
2/26/1970,84.81
2/27/1970,85.95
3/2/1970,86.36
3/3/1970,87.36
3/4/1970,86.99
3/5/1970,86.91
3/6/1970,85.83
3/9/1970,84.05
3/10/1970,84.50
3/11/1970,84.39
3/12/1970,83.70
3/13/1970,82.81
3/16/1970,81.02
3/17/1970,81.73
3/18/1970,82.20
3/19/1970,81.97
3/20/1970,81.30
3/23/1970,81.17
3/24/1970,83.01
3/25/1970,86.39
3/26/1970,86.68
3/30/1970,86.12
3/31/1970,86.12
4/1/1970,86.97
4/2/1970,86.42
4/3/1970,85.65
4/6/1970,84.45
4/7/1970,83.99
4/8/1970,83.93
4/9/1970,84.01
4/10/1970,83.46
4/13/1970,82.32
4/14/1970,80.92
4/15/1970,80.62
4/16/1970,79.04
4/17/1970,78.65
4/20/1970,78.94
4/21/1970,78.12
4/22/1970,76.09
4/23/1970,73.86
4/24/1970,73.38
4/27/1970,71.06
4/28/1970,68.98
4/29/1970,71.63
4/30/1970,71.12
5/1/1970,70.98
5/4/1970,67.38
5/5/1970,66.07
5/6/1970,67.53
5/7/1970,68.14
5/8/1970,67.48
5/11/1970,66.05
5/12/1970,64.79
5/13/1970,62.59
5/14/1970,60.81
5/15/1970,63.16
5/18/1970,63.26
5/19/1970,60.80
5/20/1970,57.67
5/21/1970,55.54
5/22/1970,55.67
5/25/1970,52.59
5/26/1970,51.15
5/27/1970,56.29
5/28/1970,59.14
5/29/1970,62.22
6/1/1970,64.31
6/2/1970,64.31
6/3/1970,65.44
6/4/1970,63.50
6/5/1970,61.55
6/8/1970,61.74
6/9/1970,61.68
6/10/1970,60.43
6/11/1970,58.78
6/12/1970,57.88
6/15/1970,58.98
6/16/1970,61.46
6/17/1970,61.22
6/18/1970,62.04
6/19/1970,62.92
6/22/1970,62.25
6/23/1970,59.19
6/24/1970,57.94
6/25/1970,58.02
6/26/1970,57.16
6/29/1970,56.26
6/30/1970,55.99
7/1/1970,56.33
7/2/1970,56.30
7/6/1970,54.54
7/7/1970,53.71
7/8/1970,56.38
7/9/1970,58.01
7/10/1970,58.62
7/13/1970,58.78
7/14/1970,58.58
7/15/1970,59.85
7/16/1970,61.62
7/17/1970,63.80
7/20/1970,63.96
7/21/1970,62.63
7/22/1970,62.71
7/23/1970,64.29
7/24/1970,63.99
7/27/1970,63.71
7/28/1970,63.91
7/29/1970,64.35
7/30/1970,64.40
7/31/1970,64.37
8/3/1970,62.67
8/4/1970,62.95
8/5/1970,62.93
8/6/1970,62.77
8/7/1970,63.09
8/10/1970,61.33
8/11/1970,60.72
8/12/1970,60.08
8/13/1970,59.03
8/14/1970,59.69
8/17/1970,59.93
8/18/1970,61.31
8/19/1970,62.54
8/20/1970,63.97
8/21/1970,66.27
8/24/1970,69.19
8/25/1970,69.42
8/26/1970,69.57
8/27/1970,69.35
8/28/1970,70.68
8/31/1970,70.09
9/1/1970,69.11
9/2/1970,69.13
9/3/1970,71.06
9/4/1970,72.34
9/8/1970,72.71
9/9/1970,72.27
9/10/1970,71.41
9/11/1970,71.80
9/14/1970,71.01
9/15/1970,69.78
9/16/1970,70.52
9/17/1970,71.38
9/18/1970,71.96
9/21/1970,70.72
9/22/1970,70.63
9/23/1970,70.72
9/24/1970,70.29
9/25/1970,72.30
9/28/1970,74.19
9/29/1970,74.10
9/30/1970,74.88
10/1/1970,74.91
10/2/1970,76.41
10/5/1970,78.76
10/6/1970,79.45
10/7/1970,79.52
10/8/1970,77.80
10/9/1970,76.23
10/12/1970,74.60
10/13/1970,74.40
10/14/1970,74.63
10/15/1970,75.45
10/16/1970,74.79
10/19/1970,72.78
10/20/1970,73.64
10/21/1970,73.67
10/22/1970,73.18
10/23/1970,73.87
10/26/1970,73.05
10/27/1970,72.72
10/28/1970,73.26
10/29/1970,73.14
10/30/1970,72.95
11/2/1970,73.40
11/3/1970,74.65
11/4/1970,74.95
11/5/1970,74.44
11/6/1970,74.65
11/9/1970,75.45
11/10/1970,75.66
11/11/1970,76.09
11/12/1970,74.51
11/13/1970,73.13
