Date,Value
1998-11,10000
1998-12,10508.98859
1999-01,11113.59065
1999-02,11054.11804
1999-03,11721.53384
1999-04,12254.76279
1999-05,11869.68988
1999-06,12638.2529
1999-07,11988.80813
1999-08,12158.59647
1999-09,11825.80133
1999-10,12716.70659
1999-11,13503.85371
1999-12,14671.76494
2000-01,13863.36746
2000-02,13744.18058
2000-03,15080.30243
2000-04,15236.19812
2000-05,14754.71374
2000-06,14978.02526
2000-07,15335.09206
2000-08,16070.49011
2000-09,15834.67276
2000-10,16589.70799
2000-11,15505.89209
2000-12,14964.33284
2001-01,14907.56626
2001-02,13727.66585
2001-03,13424.54956
2001-04,14369.23821
2001-05,14819.35065
2001-06,14440.88898
2001-07,14134.28384
2001-08,12842.88488
2001-09,12036.86122
2001-10,12378.69061
2001-11,13357.71281
2001-12,13720.25614
2002-01,13823.56181
2002-02,13821.01358
2002-03,14110.377
2002-04,13026.96088
2002-05,12377.49542
2002-06,11161.73921
2002-07,10431.15233
2002-08,10424.60624
2002-09,9316.398883
2002-10,10193.57397
2002-11,10598.05578
2002-12,9565.925622
2003-01,8927.612965
2003-02,8747.098349
2003-03,8678.028742
2003-04,9263.306428
2003-05,9156.056686
2003-06,9518.585179
2003-07,9718.708719
2003-08,10249.04358
2003-09,9569.295457
2003-10,10141.03772
2003-11,9949.841091
2003-12,9978.527598
2004-01,10262.34147
2004-02,10416.47252
2004-03,10448.12034
2004-04,10604.53133
2004-05,10476.71806
2004-06,10699.51748
2004-07,10556.11779
2004-08,10589.5996
2004-09,10561.0929
2004-10,10397.90976
2004-11,10439.21404
2004-12,10637.59318
2005-01,10890.78316
2005-02,11128.79757
2005-03,11178.61421
2005-04,10905.13439
2005-05,11722.14525
2005-06,12112.22737
2005-07,12506.71066
2005-08,12328.25069
2005-09,12683.94147
2005-10,12482.45507
2005-11,13175.49376
2005-12,13245.7652
2006-01,13331.98835
2006-02,13663.43122
2006-03,13699.36271
2006-04,13650.1708
2006-05,12881.69787
2006-06,13073.12581
2006-07,13027.28941
2006-08,13303.85685
2006-09,13666.13245
2006-10,14216.88579
2006-11,14033.24149
2006-12,14334.06208
2007-01,14704.01229
2007-02,14312.1924
2007-03,14464.05279
2007-04,14891.6428
2007-05,15510.738
2007-06,15424.35177
2007-07,14910.88485
2007-08,15032.73665
2007-09,15464.13566
2007-10,15762.75073
2007-11,14913.23745
2007-12,14789.70111
2008-01,13450.98013
2008-02,13125.12064
2008-03,12425.68641
2008-04,13246.11977
2008-05,13529.42865
2008-06,12467.27266
2008-07,12229.81119
2008-08,12855.05025
2008-09,11867.07613
2008-10,10871.02506
2008-11,10392.33661
2008-12,9770.599294
2009-01,9768.213875
2009-02,8951.566215
2009-03,9179.601809
2009-04,10097.62459
2009-05,10378.16386
2009-06,10414.15577
2009-07,11203.86738
2009-08,11395.46335
2009-09,11524.96294
2009-10,11395.23969
2009-11,11742.65788
2009-12,12489.62585
2010-01,12353.36553
2010-02,12895.04662
2010-03,13712.03701
2010-04,13871.15695
2010-05,13586.96668
2010-06,13324.78341
2010-07,13504.85448
2010-08,13480.00564
2010-09,13728.57331
2010-10,14098.14289
2010-11,14759.44753
2010-12,15257.30501
2011-01,15131.08954
2011-02,15454.01942
2011-03,15095.18111
2011-04,15174.72397
2011-05,15437.68181
2011-06,15180.0322
2011-07,15212.36792
2011-08,14219.91465
2011-09,13924.78948
2011-10,14799.5938
2011-11,15189.29129
2011-12,15746.44936
2012-01,16189.68978
2012-02,16707.65477
2012-03,16951.75694
2012-04,17124.03141
2012-05,16712.16688
2012-06,17237.9739
2012-07,18018.88885
2012-08,17936.13584
2012-09,17909.84658
2012-10,17675.09431
2012-11,17929.14921
2012-12,17826.36231
2013-01,18216.64638
2013-02,18837.34235
2013-03,19801.41276
2013-04,19923.08341
2013-05,20070.34445
2013-06,19356.92659
2013-07,20063.77262
2013-08,19734.36252
2013-09,20294.72181
2013-10,20863.70578
2013-11,21378.04994
2013-12,21584.24278
2014-01,20965.15252
2014-02,21674.10325
2014-03,21812.29084
2014-04,22133.59927
2014-05,22872.43806
2014-06,23084.46976
2014-07,23323.58748
2014-08,24432.92961
2014-09,24903.66047
2014-10,25532.99626
2014-11,25953.6141
2014-12,26298.13753
2015-01,28038.38182
2015-02,29661.31831
2015-03,30527.55656
2015-04,29982.55119
2015-05,30836.38079
2015-06,29522.95266
2015-07,30841.24035
2015-08,28194.42815
2015-09,27642.54296
2015-10,30475.41408
2015-11,31666.95739
2015-12,30249.56918
2016-01,28665.01539
2016-02,28789.36601
2016-03,29369.5505
2016-04,29464.6508
2016-05,30366.98068
2016-06,30389.68095
2016-07,31340.74542
2016-08,31174.91922
2016-09,31175.73118
2016-10,30843.85674
2016-11,32185.4917
2016-12,33001.30431
2017-01,32829.50516
2017-02,34549.20562
2017-03,34728.61742
2017-04,34534.24444
2017-05,34573.65713
2017-06,33909.64525
2017-07,33522.3076
2017-08,33370.74408
2017-09,34167.02975
2017-10,35472.21911
2017-11,35877.9508
2017-12,35935.29444
2018-01,36024.85529
2018-02,35477.84553
2018-03,34797.01042
2018-04,35724.99648
2018-05,37521.09338
2018-06,37428.10837
2018-07,38441.14661
2018-08,39375.67235
2018-09,39817.87967
2018-10,37896.99688
2018-11,37982.11323
2018-12,35115.96792
2019-01,37587.44027
2019-02,39548.29076
2019-03,41048.13313
2019-04,42443.1582
2019-05,40253.50341
2019-06,42117.55716
2019-07,43193.57879
2019-08,42726.38392
2019-09,44101.01157
2019-10,44285.73123
2019-11,46487.33973
2019-12,47001.747
2020-01,47578.46377
2020-02,43893.84814
2020-03,39117.71489
2020-04,43443.4528
2020-05,44448.6747
2020-06,44850.01197
2020-07,44117.70482
2020-08,46843.44252
2020-09,46337.98089
2020-10,44940.23116
2020-11,49066.92312
2020-12,49719.26955
2021-01,49234.29305
2021-02,50478.67867
2021-03,54333.1891
2021-04,55407.49929
2021-05,55915.88759
2021-06,58629.37692
2021-07,60400.75991
2021-08,62217.01793
2021-09,59743.98875
2021-10,63713.81168
2021-11,64155.54275
2021-12,66760.29236
2022-01,63155.88061
2022-02,60960.38373
2022-03,63525.19497
2022-04,61712.75142
2022-05,60183.75568
2022-06,56798.26622
2022-07,62394.80605
2022-08,60568.79365
2022-09,56485.6934
2022-10,59350.69564
2022-11,61543.92624
2022-12,57597.12857
2023-01,60165.93715
2023-02,59841.73972
2023-03,60782.36573
2023-04,61418.19874
2023-05,62709.80783
2023-06,65298.90429
2023-07,66504.5164
2023-08,66622.36697
2023-09,65115.70499
2023-10,63985.79249
2023-11,67719.35472
2023-12,70323.95382
2024-01,72890.38143
2024-02,76947.64376
2024-03,79347.32887
